event, click, i, 1, j, 1, index, 3, t, 1543277913.682
event, click, i, 0, j, 0, index, 0, t, 1543277917.481
event, click, i, 2, j, 1, index, 5, t, 1543277921.314
event, click, i, 0, j, 1, index, 1, t, 1543277924.842
event, click, i, 0, j, 0, index, 0, t, 1543277928.419
event, click, i, 1, j, 0, index, 2, t, 1543277932.001
event, click, i, 0, j, 1, index, 1, t, 1543277935.117
event, click, i, 2, j, 1, index, 5, t, 1543277938.642
event, click, i, 1, j, 0, index, 2, t, 1543277942.826
event, click, i, 0, j, 0, index, 0, t, 1543277945.883
event, click, i, 2, j, 0, index, 4, t, 1543277948.738
event, click, i, 1, j, 1, index, 3, t, 1543277951.682
event, click, i, 2, j, 1, index, 5, t, 1543277956.372
event, click, i, 1, j, 0, index, 2, t, 1543277959.666
event, click, i, 2, j, 0, index, 4, t, 1543277984.481
event, click, i, 0, j, 1, index, 1, t, 1543277987.449
event, click, i, 2, j, 1, index, 5, t, 1543277989.874
event, click, i, 0, j, 1, index, 1, t, 1543278003.999
event, click, i, 1, j, 0, index, 2, t, 1543278007.298
event, click, i, 2, j, 0, index, 4, t, 1543278010.489
event, click, i, 0, j, 0, index, 0, t, 1543278013.33
event, click, i, 0, j, 1, index, 1, t, 1543278017.011
event, click, i, 1, j, 0, index, 2, t, 1543278020.57
event, click, i, 1, j, 1, index, 3, t, 1543278023.641
event, click, i, 2, j, 1, index, 5, t, 1543278027.907
event, click, i, 0, j, 0, index, 0, t, 1543278030.721
event, click, i, 2, j, 1, index, 5, t, 1543278033.809
event, click, i, 0, j, 0, index, 0, t, 1543278037.265
event, click, i, 2, j, 0, index, 4, t, 1543278040.827
event, click, i, 1, j, 0, index, 2, t, 1543278043.609
event, click, i, 0, j, 0, index, 0, t, 1543278046.184
event, click, i, 0, j, 1, index, 1, t, 1543278048.818
event, click, i, 2, j, 1, index, 5, t, 1543278052.306
event, click, i, 1, j, 0, index, 2, t, 1543278055.626
event, click, i, 0, j, 0, index, 0, t, 1543278058.681
event, click, i, 1, j, 1, index, 3, t, 1543278061.161
event, click, i, 2, j, 0, index, 4, t, 1543278064.499
event, start, t, 1543343528.611
event, start, t, 1543349400.416
event, click, i, 1, j, 1, index, 3, t, 1543349406.032
event, start, t, 1543354268.448
event, click, i, 2, j, 0, index, 4, t, 1543354271.389
event, click, i, 1, j, 1, index, 3, t, 1543354274.462
event, click, i, 0, j, 1, index, 1, t, 1543354310.91
event, click, i, 0, j, 0, index, 0, t, 1543354313.462
event, click, i, 2, j, 0, index, 4, t, 1543354316.636
event, click, i, 1, j, 1, index, 3, t, 1543354319.652
event, click, i, 1, j, 1, index, 3, t, 1543354323.005
event, click, i, 1, j, 1, index, 3, t, 1543354324.277
event, click, i, 2, j, 1, index, 5, t, 1543354406.396
event, click, i, 1, j, 0, index, 2, t, 1543354412.398
event, click, i, 0, j, 1, index, 1, t, 1543354415.427
event, click, i, 1, j, 1, index, 3, t, 1543354419.267
event, click, i, 0, j, 0, index, 0, t, 1543354421.396
event, click, i, 2, j, 0, index, 4, t, 1543354424.652
event, click, i, 1, j, 0, index, 2, t, 1543354426.962
event, click, i, 0, j, 1, index, 1, t, 1543354429.218
event, click, i, 2, j, 1, index, 5, t, 1543354431.73
event, click, i, 1, j, 1, index, 3, t, 1543354434.663
